Name,Ename,Code,Group Type,Attribute,Function Code,Data Type,Register Address,Bit Position,Bit Number,Precision,Ratio,Offset,Endian,Is Persisted,Storage Interval,Mutate Bound,Default Value,Max Value,Min Value,Unit,Is Show
故障越限次数数组[2],Fault Overlimit Count Array [2],644,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[3],Fault Overlimit Count Array [3],645,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[4],Fault Overlimit Count Array [4],646,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[5],Fault Overlimit Count Array [5],647,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[6],Fault Overlimit Count Array [6],648,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[7],Fault Overlimit Count Array [7],649,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[8],Fault Overlimit Count Array [8],650,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[9],Fault Overlimit Count Array [9],651,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[10],Fault Overlimit Count Array [10],652,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[11],Fault Overlimit Count Array [11],653,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[12],Fault Overlimit Count Array [12],654,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[13],Fault Overlimit Count Array [13],655,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[14],Fault Overlimit Count Array [14],656,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[15],Fault Overlimit Count Array [15],657,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[16],Fault Overlimit Count Array [16],658,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[17],Fault Overlimit Count Array [17],659,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[18],Fault Overlimit Count Array [18],660,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[19],Fault Overlimit Count Array [19],661,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[20],Fault Overlimit Count Array [20],662,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[21],Fault Overlimit Count Array [21],663,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[22],Fault Overlimit Count Array [22],664,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[23],Fault Overlimit Count Array [23],665,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[24],Fault Overlimit Count Array [24],666,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[25],Fault Overlimit Count Array [25],667,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[26],Fault Overlimit Count Array [26],668,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[27],Fault Overlimit Count Array [27],669,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[28],Fault Overlimit Count Array [28],670,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[29],Fault Overlimit Count Array [29],671,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[30],Fault Overlimit Count Array [30],672,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[31],Fault Overlimit Count Array [31],673,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[32],Fault Overlimit Count Array [32],674,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[33],Fault Overlimit Count Array [33],675,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[34],Fault Overlimit Count Array [34],676,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[35],Fault Overlimit Count Array [35],677,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[36],Fault Overlimit Count Array [36],678,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[37],Fault Overlimit Count Array [37],679,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[38],Fault Overlimit Count Array [38],680,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[39],Fault Overlimit Count Array [39],681,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
